,id_model,id_serie,input,output,rep,sMAPE,MAE,MAPE
6,0,513,12,12,1,0.029804657,6946.091797,0.057873178
7,1,513,12,12,1,0.248089156,47706.04505,0.3975503
8,2,513,12,12,1,0.030476539,7098.045485,0.059147541
9,0,513,12,3,1,0.001305823,79.81738281,0.002607565
10,1,513,12,3,1,0.231865389,11520,0.376445094
11,2,513,12,3,1,0.002670289,162.9971212,0.00532499
12,0,513,12,12,2,0.011375448,2543.240234,0.022512972
13,1,513,12,12,2,0.223586555,41318.28452,0.365454859
14,2,513,12,12,2,0.016547164,3680.673853,0.032586615
15,0,513,12,3,2,0.003433279,209.1240234,0.006842312
16,1,513,12,3,2,0.237084189,11713.5,0.38330035
17,2,513,12,3,2,0.00589351,358.1008366,0.011718748
0,0,514,12,12,0,0.016769015,4847.885362,0.032952151
1,1,514,12,12,0,0.279154009,64148.73917,0.436450009
2,2,514,12,12,0,0.019154775,5524.640306,0.037563918
3,0,514,12,3,0,0.004718517,348.4893303,0.009389603
4,1,514,12,3,0,0.276773003,16085.64049,0.433550649
5,2,514,12,3,0,0.005471481,403.7973417,0.010878068
6,0,514,12,12,1,0.025749267,7138.174694,0.050274379
7,1,514,12,12,1,0.270298914,60506.48004,0.425546435
8,2,514,12,12,1,0.029580758,8169.818321,0.057513787
9,0,514,12,3,1,0.004916739,361.8186306,0.009896716
10,1,514,12,3,1,0.273006539,15718.61054,0.428907857
11,2,514,12,3,1,0.002661347,195.1178547,0.005335589
